method,ate,ate_pct,ci_low,ci_high,se,p_value,cohort,outcome,n,n_treated,n_control,outcome_rate,diag_ps_overlap_frac,diag_ps_min,diag_ps_max,diag_frac_clipped,diag_max_smd_raw,diag_mean_smd_raw,diag_max_smd_weighted,diag_mean_smd_weighted,diag_ess,diag_ess_frac,intervention,equipoise_def,counterfactual_risk_treated,counterfactual_risk_control,risk_ratio,e_value,e_value_ci
unadjusted,0.13577016449571694,13.577016449571694,0.11788039099862993,0.15365993799280395,0.009127603179547823,4.812901920278878e-50,equipoise,mortality_28d,26767,2456,24311,0.1389023797960175,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,,,,
iptw,0.1422808206625851,14.22808206625851,0.11979337696186353,0.1647682643633067,0.01147339638794369,2.58298193404239e-35,equipoise,mortality_28d,26767,2456,24311,0.1389023797960175,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,,,,
aipw,0.12328174272465106,12.328174272465105,0.10310738985092731,0.14345609559837483,0.010293226320920425,4.691154152326781e-33,equipoise,mortality_28d,26767,2456,24311,0.1389023797960175,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,0.25327481755044046,0.1299930748257894,1.9483716181794104,3.3077024625096803,2.985779987707361
att,0.09709909044710706,9.709909044710706,0.07871422378626652,0.1154839571079476,0.009380206374126267,4.1203303252765577e-25,equipoise,mortality_28d,26767,2456,24311,0.1389023797960175,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,0.165115893266248,,,
ato,0.11957114112329342,11.957114112329343,0.09940119712116449,0.13974108512542235,0.010290976855302888,3.2987043789723493e-31,equipoise,mortality_28d,26767,2456,24311,0.1389023797960175,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,,,,
unadjusted,0.12895845997783603,12.895845997783603,0.10984487376543757,0.1480720461902345,0.009752008895655225,6.3963249467903474e-40,equipoise,mortality_90d,26767,2456,24311,0.20372099973848395,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,,,,
iptw,0.14156473020742547,14.156473020742547,0.11746964511774065,0.16565981529711027,0.012293636658501776,1.1049358116046809e-30,equipoise,mortality_90d,26767,2456,24311,0.20372099973848395,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,,,,
aipw,0.11715031143903563,11.715031143903563,0.09634661470716281,0.13795400817090847,0.01061432602638096,2.5335247570980006e-28,equipoise,mortality_90d,26767,2456,24311,0.20372099973848395,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,0.3124676168992734,0.19531730546023773,1.5997948372418278,2.5793603960605207,2.3515425061264468
att,0.0915886338541598,9.15886338541598,0.07241982770552832,0.11075744000279128,0.009780182850211828,7.62551598014322e-21,equipoise,mortality_90d,26767,2456,24311,0.20372099973848395,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,0.22925827168329949,,,
ato,0.11446603843258726,11.446603843258726,0.09311598802948369,0.13581608883569082,0.010893083021683075,7.924116495830515e-26,equipoise,mortality_90d,26767,2456,24311,0.20372099973848395,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,,,,
unadjusted,0.14225979852612045,14.225979852612044,0.12898330056696683,0.15553629648527406,0.006773847919592887,6.377839255367666e-98,full,mortality_in_hospital,56330,3532,52798,0.06428191017219954,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,,,,
iptw,0.1360862212112206,13.60862212112206,0.11920498727227316,0.15296745515016805,0.008613032725144165,3.109423453564189e-56,full,mortality_in_hospital,56330,3532,52798,0.06428191017219954,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,,,,
aipw,0.11045212998426768,11.045212998426768,0.09542178496890155,0.1254824749996338,0.007668684289060189,4.95387856252426e-47,full,mortality_in_hospital,56330,3532,52798,0.06428191017219954,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,0.1683908527214387,0.057938722737171,2.9063611478857525,5.260203533019905,4.734852450138915
att,0.10116414162377059,10.116414162377058,0.08458039860574001,0.11774788464180116,0.008461248853979472,6.027754979656041e-33,full,mortality_in_hospital,56330,3532,52798,0.06428191017219954,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,0.09645760243058953,,,
